Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Germany,Potatoes,2022,30165,1317.5,72.68,16.31
Brazil,Soybeans,2013,32589,1050.3,12.33,17.1
Nigeria,Potatoes,2015,36399,1685.0,0.57,29.23
Germany,Wheat,2021,30722,928.9,291.22,18.49
Australia,"Rice, paddy",2021,37275,2123.8,3.81,22.37
Germany,Wheat,2013,35232,1250.3,228.06,7.84
United States,Soybeans,2011,27006,859.3,10.41,31.11
Australia,Maize,2013,38475,1097.8,16.09,17.32
Australia,Wheat,2013,33050,1187.5,203.95,25.29
Nigeria,Soybeans,2011,32952,979.6,62.07,22.76
China,Potatoes,2022,35872,1229.6,6.2,17.69
Brazil,"Rice, paddy",2010,38809,1455.1,74.5,21.27
China,Maize,2017,34979,741.5,37.07,19.33
China,Sorghum,2020,37410,1593.4,65.9,21.96
Brazil,Maize,2014,28097,1698.2,54.47,22.03
United States,Potatoes,2022,39567,1428.8,18.02,19.64
Kenya,Potatoes,2014,25564,886.2,112.7,11.03
United States,Wheat,2022,27584,899.3,28.04,19.37
China,Potatoes,2013,31730,1138.8,131.79,25.81
India,Maize,2018,31761,1369.3,83.46,
Brazil,Maize,2014,27312,661.5,22.39,25.49
Nigeria,Maize,2013,24649,872.1,36.16,19.89
India,Soybeans,2010,38520,1074.2,2.69,22.07
Australia,Wheat,2014,30784,529.4,53.78,26.86
Brazil,Maize,2015,31643,1661.1,80.31,11.59
India,Maize,2021,34950,1130.8,56.77,24.74
China,"Rice, paddy",2013,28323,1103.7,20.55,17.81
India,Wheat,2017,32016,1289.4,11.84,15.3
Germany,Sorghum,2019,39041,1425.4,135.96,12.61
United States,Maize,2021,41784,2115.7,65.37,19.12
India,"Rice, paddy",2012,37874,1308.8,174.49,21.78
Brazil,Maize,2017,43912,1586.8,123.1,25.12
Nigeria,Sorghum,2018,26803,1169.9,94.19,12.7
India,Potatoes,2010,30016,1362.6,54.48,17.22
Nigeria,"Rice, paddy",2010,25867,1267.2,56.87,8.68
Australia,Sorghum,2015,39312,1388.2,39.95,21.66
United States,Soybeans,2010,24804,994.1,17.38,36.32
Brazil,Maize,2010,32144,1490.9,416.98,
Australia,"Rice, paddy",2021,32772,1289.3,265.1,19.56
Kenya,Maize,2012,35978,1410.8,14.86,24.26
United States,"Rice, paddy",2017,24123,640.9,23.46,28.34
Nigeria,Maize,2018,23182,626.8,96.98,11.73
Germany,Wheat,2012,30491,1362.7,6.81,11.38
Brazil,Potatoes,2011,32245,1048.9,7.9,17.09
India,Wheat,2022,25968,1159.9,23.04,20.85
Nigeria,Soybeans,2021,34115,1270.4,19.45,15.62
Kenya,Potatoes,2012,29171,1645.4,297.88,24.97
India,"Rice, paddy",2021,30163,1174.6,109.02,15.6
Australia,Maize,2021,30027,619.9,13.61,17.99
Nigeria,Maize,2017,37509,455.1,218.2,21.63
Nigeria,Soybeans,2015,27103,626.6,10.24,21.37
Germany,Maize,2013,35753,994.6,15.42,16.7
Australia,Sorghum,2014,35336,1753.0,80.65,11.42
United States,"Rice, paddy",2019,31085,913.7,55.62,31.6
Nigeria,Wheat,2010,36829,1237.6,129.14,25.56
India,Maize,2022,41069,1823.6,63.11,19.09
India,Wheat,2020,36517,1212.4,5.91,16.26
United States,Sorghum,2011,29240,914.2,24.16,
United States,Soybeans,2020,31195,1244.8,130.16,23.49
India,"Rice, paddy",2010,28553,875.9,105.24,17.79
Nigeria,Sorghum,2014,31137,1405.8,107.74,13.33
India,Sorghum,2013,27637,-50.0,140.11,24.09
India,Potatoes,2021,28860,1256.8,90.35,19.25
Nigeria,Soybeans,2014,16679,-245.6,27.76,27.23
China,Soybeans,2016,39808,963.0,213.81,21.5
Germany,Potatoes,2018,33990,1261.8,114.67,15.07
Germany,Sorghum,2022,29317,897.8,177.97,11.86
Australia,"Rice, paddy",2017,26647,629.5,37.51,26.93
Germany,Maize,2022,31070,834.3,6.98,28.16
Brazil,Wheat,2019,33376,1690.1,32.07,10.48
United States,Potatoes,2019,39104,1440.8,138.43,24.61
China,Sorghum,2018,35179,1553.3,37.58,24.14
Australia,Soybeans,2015,30627,341.3,3.55,23.59
India,Wheat,2018,34277,673.5,19.55,14.62
Germany,Maize,2020,28927,1055.6,77.43,25.86
United States,Wheat,2021,29287,860.2,70.1,8.52
China,Soybeans,2021,29914,841.5,6.34,17.58
Kenya,Maize,2011,39680,1359.6,6.91,20.85
Kenya,Maize,2015,31713,1218.2,38.36,13.42
Brazil,Maize,2014,38838,1595.1,4.64,21.56
Germany,Soybeans,2015,30900,1166.6,103.61,24.85
Kenya,Sorghum,2018,39812,1642.4,11.06,20.72
Australia,Maize,2010,25334,-291.3,142.4,18.39
China,Soybeans,2020,36891,872.3,41.33,23.87
United States,"Rice, paddy",2012,40143,1193.4,314.83,24.82
Germany,"Rice, paddy",2012,28953,1609.6,187.6,21.2
Nigeria,Potatoes,2016,44558,1862.4,127.36,21.37
India,Potatoes,2013,34339,1042.4,49.17,19.96
Kenya,Sorghum,2020,36299,-50.0,61.65,25.49
Brazil,Sorghum,2017,35016,659.3,15.88,15.49
Nigeria,"Rice, paddy",2020,27077,705.7,17.08,23.02
Kenya,Sorghum,2010,30046,876.4,61.16,
India,Sorghum,2019,30149,1059.2,128.52,20.25
Australia,"Rice, paddy",2022,34348,1185.6,0.21,21.07
Germany,Sorghum,2019,33741,1176.8,101.98,29.58
Germany,Sorghum,2020,26636,786.2,60.76,19.23
Brazil,"Rice, paddy",2018,24652,,66.4,23.46
Kenya,Potatoes,2018,39766,1182.7,90.93,19.95
Germany,Potatoes,2015,36752,1709.2,45.2,23.23
Australia,Potatoes,2019,24487,832.6,74.83,19.93
Australia,Soybeans,2018,29011,955.4,13.27,18.57
Brazil,Sorghum,2017,28403,905.1,181.66,20.29
Nigeria,Soybeans,2013,35977,1419.0,0.43,20.87
Australia,"Rice, paddy",2018,41967,1280.6,101.4,9.52
Kenya,Potatoes,2014,23080,874.2,44.33,13.99
Germany,Maize,2019,29874,1119.2,116.81,20.08
Germany,Potatoes,2022,28790,839.3,32.83,20.28
Kenya,Maize,2010,30113,1404.1,9.93,34.34
Brazil,Sorghum,2010,32653,1280.6,42.01,23.86
India,Sorghum,2021,28169,603.3,147.53,22.03
Australia,Potatoes,2012,24870,1257.8,87.54,17.47
Kenya,Wheat,2018,30771,1244.3,91.9,30.63
Nigeria,"Rice, paddy",2022,36354,1520.6,55.89,14.94
Germany,Wheat,2014,32053,1012.4,189.56,14.69
Australia,"Rice, paddy",2016,35319,1466.5,14.59,26.54
Australia,"Rice, paddy",2013,40322,1521.8,485.73,24.97
Brazil,Maize,2013,42658,1703.9,167.49,22.41
Germany,Potatoes,2022,28673,896.0,10.91,27.72
Kenya,Soybeans,2013,37385,1485.5,81.99,25.84
Brazil,"Rice, paddy",2014,40310,,140.26,19.33
Australia,Wheat,2020,31259,1212.0,56.4,13.25
China,"Rice, paddy",2021,37471,1118.8,8.63,16.38
India,Sorghum,2012,30010,1173.6,207.83,20.6
Kenya,Wheat,2013,31524,1049.7,10.65,35.23
Kenya,Maize,2014,31528,1528.4,0.37,16.5
India,Wheat,2020,13967,438.1,205.07,10.67
Brazil,Maize,2020,29082,1288.7,14.48,
United States,Potatoes,2011,31190,1462.4,87.14,18.39
China,Soybeans,2017,38412,2129.3,5.55,20.36
Brazil,Sorghum,2022,33023,1369.7,78.46,26.52
Brazil,Wheat,2010,22564,998.0,59.45,29.02
Australia,"Rice, paddy",2013,23583,603.7,16.06,11.55
Australia,Wheat,2021,33298,1588.9,23.43,6.95
Nigeria,Sorghum,2018,24772,535.7,128.72,23.0
Germany,Wheat,2012,32668,1425.5,154.87,14.36
Kenya,Sorghum,2014,34795,1563.7,41.72,16.38
United States,Maize,2016,34799,1232.1,97.38,25.22
Brazil,Wheat,2011,31980,1399.2,36.09,27.11
India,Wheat,2014,37588,1184.4,115.38,19.42
Nigeria,Maize,2011,26815,1087.6,1.82,21.85
Kenya,Maize,2016,37428,1347.0,43.81,12.8
Australia,Wheat,2014,35503,1560.6,135.02,15.44
Kenya,Maize,2015,32974,912.3,0.88,23.16
China,Soybeans,2018,36437,1493.1,54.54,27.12
Kenya,Potatoes,2019,24582,358.1,254.81,14.06
China,Maize,2020,45883,1583.0,28.21,14.3
Germany,Sorghum,2015,32823,756.7,2.53,24.2
Brazil,Maize,2020,24655,,72.67,26.9
Kenya,Maize,2018,22870,681.6,97.64,9.32
Brazil,"Rice, paddy",2011,42328,2021.2,128.52,13.47
United States,Potatoes,2012,37938,1494.3,261.82,16.43
India,Potatoes,2017,38075,1504.1,113.64,27.71
Kenya,Sorghum,2015,35642,1641.9,4.24,26.17
Nigeria,Maize,2016,28939,1146.3,64.92,8.29
Germany,Soybeans,2016,34087,1278.7,283.4,18.72
Australia,Potatoes,2016,33996,1372.6,48.58,33.15
Australia,"Rice, paddy",2021,28015,683.0,103.21,27.67
India,Potatoes,2022,38908,924.1,86.7,20.87
Kenya,Wheat,2021,37638,1132.9,223.84,26.39
Kenya,Sorghum,2014,30395,826.6,52.28,10.37
India,Wheat,2018,30329,1214.8,105.42,7.49
Nigeria,Sorghum,2011,24459,1046.1,28.11,8.4
Nigeria,Potatoes,2021,33215,1325.2,322.87,10.8
Australia,Soybeans,2011,38439,1471.2,14.62,21.0
Kenya,"Rice, paddy",2022,33557,933.7,252.23,19.38
Australia,Maize,2018,31187,1303.3,210.21,28.52
Australia,Maize,2017,23437,1065.2,78.03,25.67
Brazil,Potatoes,2022,34946,748.7,175.68,23.26
Kenya,"Rice, paddy",2020,27632,713.8,0.41,14.88
United States,Sorghum,2014,33489,-50.0,19.9,16.89
India,Wheat,2017,40144,1117.3,189.6,26.18
Nigeria,"Rice, paddy",2022,37479,1428.2,24.85,21.44
Nigeria,Potatoes,2010,33136,993.5,32.52,18.39
China,Soybeans,2020,30134,848.2,260.18,26.24
United States,Wheat,2020,39931,1191.9,0.09,19.09
China,Wheat,2022,34702,1237.2,76.76,20.15
Germany,Wheat,2021,35488,943.6,1.49,15.98
China,Potatoes,2014,34393,1005.5,8.65,21.05
United States,Potatoes,2020,30901,1296.2,98.64,16.38
Nigeria,"Rice, paddy",2011,33571,1083.4,164.17,16.65
Kenya,Potatoes,2016,38727,1554.6,23.28,17.26
Brazil,Soybeans,2018,37028,1080.8,14.29,23.89
China,Wheat,2013,27844,587.9,241.05,25.23
Kenya,Soybeans,2020,35108,641.2,267.1,17.94
Brazil,Maize,2019,33291,1003.5,19.17,22.11
China,Wheat,2021,34874,1008.2,51.28,22.06
Germany,"Rice, paddy",2011,39062,1357.1,11.26,27.97
India,Sorghum,2016,40758,1296.6,10.7,15.94
Australia,Maize,2021,29844,1151.2,25.07,15.91
Kenya,Maize,2017,41175,1498.3,49.98,14.38
Germany,Sorghum,2020,36052,1414.3,121.08,22.55
Nigeria,Maize,2010,30981,871.6,8.68,18.06
Australia,Sorghum,2021,33706,1310.0,0.79,30.69
India,Maize,2022,30117,283.3,6.89,17.17
Germany,Wheat,2015,37023,1819.1,128.99,23.85
India,"Rice, paddy",2022,29296,922.0,98.06,20.36
United States,Potatoes,2017,32587,1158.5,122.38,23.13
Brazil,Potatoes,2013,46737,2065.4,72.8,19.4
Germany,Maize,2021,29780,952.2,4.98,21.23
Kenya,"Rice, paddy",2019,29026,906.4,31.92,30.03
Kenya,Soybeans,2016,30522,1302.4,54.38,8.02
Kenya,Soybeans,2015,23633,796.2,2.49,18.46
Australia,Soybeans,2019,23774,906.7,33.96,29.44
Kenya,Wheat,2013,42828,1900.7,165.35,18.96
United States,"Rice, paddy",2012,32888,,38.74,11.82
India,"Rice, paddy",2019,32210,1049.3,100.65,21.94
Kenya,Maize,2015,36582,1037.3,57.86,26.37
Australia,Maize,2020,25767,404.1,29.93,26.28
Kenya,Maize,2017,28169,452.6,21.64,29.28
Australia,Sorghum,2019,32342,980.2,47.65,14.68
Kenya,Potatoes,2017,41060,1700.3,14.62,25.1
Kenya,Maize,2010,35696,1589.0,97.77,26.57
Australia,Potatoes,2020,34071,969.2,4.7,16.69
Kenya,Maize,2016,30133,1120.8,20.36,21.15
China,Wheat,2013,28304,1466.5,48.52,22.08
China,Sorghum,2013,43197,2275.1,10.75,20.38
Nigeria,Wheat,2014,32152,1210.6,46.92,16.1
United States,Maize,2016,33602,,307.67,19.38
United States,Maize,2019,33943,1180.4,2.47,26.3
India,Maize,2012,38887,1279.7,226.25,23.04
Germany,Potatoes,2022,30165,1317.5,72.68,16.31
